GeneId1,GeneId2,Corr
MS4A6A | 224356_x_at,MS4A6A | 223280_x_at,0.985032026320482
RICTOR | 226310_at,MAP1LC3A | 227219_x_at,-0.881676607830442
RICTOR | 226310_at,STK4 | 223746_at,0.85341929575338
RICTOR | 226310_at,ZDHHC21 | 229923_at,0.86027817747873
XIST | 224589_at,XIST | 224590_at,0.878966878259785
235901_at | 235901_at,L3MBTL3 | 229393_at,0.876960915625273
238243_at | 238243_at,230892_at | 230892_at,0.850776571886174
242080_at | 242080_at,240960_at | 240960_at,0.867495525294408
AFFX-r2-Ec-bioB-M_at | AFFX-r2-Ec-bioB-M_at,AFFX-r2-Ec-bioB-3_at | AFFX-r2-Ec-bioB-3_at,0.933552903117613
RNF125 | 235199_at,C1orf228 | 242520_s_at,0.893728643948167
230970_at | 230970_at,RAD51-AS1 | 242518_at,0.852118755943685
230970_at | 230970_at,GGNBP2 | 233937_at,0.870924382911809
230970_at | 230970_at,242431_at | 242431_at,0.853643440648685
230970_at | 230970_at,STK4 | 223746_at,0.871351262134464
VPS54 | 233656_s_at,RICTOR | 226310_at,0.851101064228396
240499_at | 240499_at,237006_at | 237006_at,0.867339850997014
240307_at | 240307_at,U2SURP | 236696_at,0.881245275012782
240307_at | 240307_at,GGNBP2 | 233937_at,0.863331857642598
240307_at | 240307_at,237006_at | 237006_at,0.87360710109894
240307_at | 240307_at,STK4 | 223746_at,0.865856208421216
240307_at | 240307_at,235984_at | 235984_at,0.876957284203214
240307_at | 240307_at,240499_at | 240499_at,0.86805182674468
237062_at | 237062_at,STK4 | 223746_at,0.853615351170874
237062_at | 237062_at,240307_at | 240307_at,0.856537217736656
GSPT1 | 240452_at,233228_at | 233228_at,0.874766266298962
235796_at | 235796_at,RNF213 | 230000_at,0.887136328893388
235796_at | 235796_at,233228_at | 233228_at,0.884455893558629
235796_at | 235796_at,L3MBTL3 | 229393_at,0.860592554730918
235796_at | 235796_at,239944_at | 239944_at,0.852727482218319
DNAJC10 | 229588_at,SHPRH | 226366_at,0.89934115172749
SAMHD1 | 235964_x_at,SAMHD1 | 234987_at,0.913438808182872
SAMHD1 | 235964_x_at,PIK3R5 | 227645_at,0.909228227830505
